Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Albania,8.505,11.628,13.972,14.418,14.175,14.557,13.671,4.370,3.937,4.110,5.569,5.297,
Algeria,0.571,0.576,0.633,0.924,1.098,1.241,1.232,1.326,1.318,1.224,0.977,
Argentina,12.482,11.568,11.043,10.280,12.963,10.421,12.095,16.512,19.691,18.742,15.658,14.059,
Armenia,8.911,7.932,10.120,7.824,6.293,10.161,7.709,9.100,12.170,12.679,10.995,16.623,
Australia,20.447,21.615,22.902,24.358,28.652,27.665,25.753,25.046,23.750,21.175,24.922,22.980,
Austria,54.291,49.977,45.604,42.596,40.170,37.888,38.140,39.236,38.752,41.694,46.519,49.399,
Azerbaijan,0.138,2.341,2.164,2.686,2.920,3.687,1.651,1.209,1.280,1.059,0.000,
Bangladesh,1.127,1.682,2.288,3.391,2.632,3.075,3.805,3.199,2.674,3.372,4.486,
Belarus,
Belgium,140.261,114.783,83.071,85.348,82.761,90.082,89.743,80.462,84.392,87.261,88.614,93.126,
Bolivia,0.376,0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Bosnia-and-Herzegovina,7.119,6.573,5.613,4.206,3.939,3.781,1.558,14.489,13.695,14.772,11.449,
Botswana,2.691,2.981,2.783,2.710,2.836,2.507,0.669,1.472,0.832,1.450,0.832,
Brazil,1.538,1.326,1.326,2.354,2.847,3.129,2.486,3.488,4.228,4.675,4.774,3.530,
Bulgaria,24.384,24.510,22.731,23.156,11.126,11.165,10.963,10.652,10.344,9.762,9.679,9.854,
Canada,22.561,24.185,24.298,28.071,34.318,35.911,35.221,40.048,46.191,52.459,51.212,51.082,
Chile,8.146,9.272,7.251,7.156,5.956,5.818,7.102,6.877,7.981,7.565,7.444,9.325,
China,6.635,6.336,7.015,12.427,8.094,7.706,9.300,9.273,8.439,8.961,8.117,7.441,
Colombia,3.108,2.833,3.185,3.912,5.489,5.241,5.321,6.122,7.101,8.147,7.760,8.616,
Croatia,15.238,12.954,13.700,12.026,14.821,13.548,15.784,14.600,12.612,17.355,18.013,20.748,
Cyprus,325.020,327.925,269.719,284.311,298.556,248.353,207.322,160.157,178.245,154.417,141.380,106.320,
Czech-Republic,21.429,20.673,23.579,27.763,30.646,35.738,48.838,48.135,43.483,41.947,44.224,38.797,
Denmark,87.771,82.164,80.221,72.079,65.656,64.522,65.026,59.734,57.855,70.312,65.930,56.935,
Ecuador,1.007,0.810,0.808,0.869,0.928,0.717,0.883,0.826,0.676,1.096,1.116,1.166,
Egypt,1.041,2.449,1.198,0.776,2.111,4.969,4.669,3.478,2.840,3.240,5.598,
Estonia,44.853,47.108,42.749,43.004,46.428,41.192,31.769,21.705,24.715,27.751,28.912,27.680,
Finland,104.049,104.959,87.511,86.499,64.163,61.886,74.338,84.851,87.363,82.770,79.824,95.182,
France,81.602,75.160,70.061,76.048,77.071,81.484,85.117,94.781,99.799,114.542,114.945,115.453,
Georgia,9.548,10.367,9.574,9.563,11.194,13.554,13.336,13.263,13.297,14.596,12.463,15.246,
Germany,52.180,56.196,47.307,47.771,49.222,53.748,52.905,54.517,51.507,59.804,69.304,65.598,
Greece,98.359,94.611,74.808,72.904,88.110,80.179,59.929,46.199,58.636,90.036,90.394,84.600,
Hong-kong,288.252,286.219,312.481,318.546,291.367,285.307,309.350,312.094,300.675,340.630,334.750,318.807,
Hungary,26.569,17.420,16.263,15.471,13.008,11.371,9.485,9.303,9.046,13.230,16.029,17.839,
Iceland,240.531,215.560,188.729,160.513,60.906,4.662,3.116,3.143,2.827,3.559,3.387,2.968,
India,4.578,5.289,4.905,4.292,4.022,3.712,3.889,3.968,4.008,4.652,3.930,
Indonesia,4.278,4.820,4.683,5.059,4.497,4.356,4.593,4.493,3.937,4.093,3.989,3.819,
Iran,1.650,0.146,0.158,0.018,0.478,0.697,0.881,0.449,0.236,0.202,
Ireland,295.167,243.132,215.658,200.857,142.341,147.039,146.520,163.316,170.380,237.775,224.644,213.935,
Israel,17.807,14.836,12.979,11.416,10.359,10.100,9.410,9.309,9.658,10.696,12.722,11.971,
Italy,32.752,36.057,35.198,34.353,35.165,42.219,46.085,50.206,44.397,53.965,55.717,59.621,
Ivory-Coast,1.329,1.990,0.000,0.000,0.000,0.562,0.054,0.238,1.520,1.721,3.095,
Japan,35.944,39.249,45.472,47.634,49.356,54.376,52.825,57.735,57.921,65.822,65.697,73.863,
Jordan,34.704,33.505,37.070,33.701,30.217,28.950,28.521,31.126,31.897,36.474,38.173,35.621,
